station_name,feature_list,main_target
동대문역사문화공원,환승역,Transfer
남부터미널,터미널,Traveler
쌍문,일반,General
남태령,일반,General
영등포구청,일반,General
뚝섬,일반,General
잠실새내,일반,General
고속터미널,"터미널,환승역",Transfer|Traveler
왕십리,일반,General
구의,일반,General
사당,환승역,Transfer
양천구청,일반,General
삼성,회사,Office
매봉,일반,General
수유,일반,General
미아,중고등학교,TeenStudent
신사,핫플레이스,Hotplace
잠실,일반,General
합정,핫플레이스,Hotplace
잠실나루,일반,General
상계,중고등학교,TeenStudent
대치,학원가,TeenStudent
옥수,일반,General
방배,중고등학교,TeenStudent
낙성대,일반,General
구로디지털단지,회사,Office
신림,일반,General
서울역,"터미널,환승역",Transfer|Traveler
창동,환승역,Transfer
회현,일반,General
압구정,핫플레이스,Hotplace
안국,중고등학교,TeenStudent
종로5가,일반,General
이촌,일반,General
청량리,터미널,Traveler
한성대입구,"대학가,중고등학교",TeenStudent|UnivStudent
충정로,일반,General
동작,환승역,Transfer
신당,일반,General
성신여대입구,대학가,UnivStudent
성수,핫플레이스,Hotplace
경복궁,일반,General
한양대,대학가,UnivStudent
금호,일반,General
학여울,일반,General
종합운동장,일반,General
이대,대학가,UnivStudent
동대입구,대학가,UnivStudent
양재,회사,Office
경찰병원,일반,General
동대문,환승역,Transfer
도곡,중고등학교,TeenStudent
불암산,일반,General
제기동,일반,General
구파발,일반,General
홍제,일반,General
노원,"환승역,학원가",TeenStudent|Transfer
시청,"환승역,회사",Office|Transfer
동묘앞,일반,General
용답,일반,General
을지로입구,회사,Office
충무로,"환승역,대학가",Transfer|UnivStudent
강남,환승역,Transfer
신촌,대학가,UnivStudent
강변,터미널,Traveler
오금,일반,General
역삼,회사,Office
잠원,일반,General
숙대입구,대학가,UnivStudent
신설동,일반,General
지축,일반,General
홍대입구,"대학가,핫플레이스",Hotplace|UnivStudent
서울대입구,대학가,UnivStudent
일원,일반,General
도림천,일반,General
불광,일반,General
연신내,일반,General
명동,일반,General
무악재,일반,General
문래,일반,General
종각,회사,Office
당산,일반,General
독립문,일반,General
약수,일반,General
아현,일반,General
총신대입구,일반,General
서초,"회사,중고등학교",Office|TeenStudent
신용산,핫플레이스,Hotplace
건대입구,대학가,UnivStudent
신대방,일반,General
신답,일반,General
교대,"환승역,학원가",TeenStudent|Transfer
미아사거리,대학가,UnivStudent
길음,중고등학교,TeenStudent
용두,일반,General
가락시장,일반,General
선릉,회사,Office
종로3가,"환승역,핫플레이스",Hotplace|Transfer
신정네거리,일반,General
녹번,일반,General
삼각지,"환승역,핫플레이스",Hotplace|Transfer
신도림,환승역,Transfer
대림,일반,General
대청,일반,General
을지로3가,"회사,핫플레이스",Hotplace|Office
수서,터미널,Traveler
을지로4가,일반,General
혜화,"대학가,핫플레이스",Hotplace|UnivStudent
상왕십리,일반,General
봉천,일반,General
용산,"터미널,회사",Office|Traveler
